Ply 1 moves,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
Minimax,20,20,22,22,24,23,31,29,37,22,35,6,34,4,27,28,25,37,32,34,31,37,38,3,47,37,44,43,41,43,38,37,35,44,32,40,28,39,30,39,27,36,25,36,26,37,23,38,2,42,18,40,18,39,19,5,3,38,18,38,4,39,11,46,
Parallel Minimax,20,20,22,22,24,23,31,29,37,22,35,6,34,4,27,28,25,37,32,34,31,37,38,3,47,37,44,43,41,43,38,37,35,44,32,40,28,39,30,39,27,36,25,36,26,37,23,38,2,42,18,40,18,39,19,5,3,38,18,38,4,39,11,46,
Alphabeta,20,20,22,22,24,23,31,29,37,22,35,6,34,4,27,28,25,37,32,34,31,37,38,3,47,37,44,43,41,43,38,37,35,44,32,40,28,39,30,39,27,36,25,36,26,37,23,38,2,42,18,40,18,39,19,5,3,38,18,38,4,39,11,46,
Jamboree,20,20,22,22,24,23,31,29,37,22,35,6,34,4,27,28,25,37,32,34,31,37,38,3,47,37,44,43,41,43,38,37,35,44,32,40,28,39,30,39,27,36,25,36,26,37,23,38,2,42,18,40,18,39,19,5,3,38,18,38,4,39,11,46,
Ply 2 moves,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
Minimax,420,460,506,550,552,731,950,1099,925,791,928,209,850,118,785,729,949,1182,1363,1311,1174,1318,1378,148,1713,1650,1899,1786,1827,1907,1689,1359,1564,1437,1327,1265,1120,1196,1167,1082,1000,926,927,996,994,918,915,882,85,849,771,670,722,1083,737,129,117,544,706,657,160,471,520,559,
Parallel Minimax,420,460,506,550,552,731,950,1099,925,791,928,209,850,118,785,729,949,1182,1363,1311,1174,1318,1378,148,1713,1650,1899,1786,1827,1907,1689,1359,1564,1437,1327,1265,1120,1196,1167,1082,1000,926,927,996,994,918,915,882,85,849,771,670,722,1083,737,129,117,544,706,657,160,471,520,559,
Alphabeta,59,131,85,208,174,582,620,464,673,276,550,140,158,34,263,163,360,227,363,135,348,305,454,100,1028,238,640,293,1072,318,725,657,783,725,658,697,427,565,409,526,347,436,326,493,368,396,286,644,85,196,274,167,272,877,310,39,61,488,224,158,79,264,246,151,
Jamboree,59,99,85,208,159,582,729,464,745,276,652,140,194,34,263,163,342,227,373,135,348,305,483,100,1009,238,632,407,1072,318,769,657,783,798,658,698,427,539,409,521,347,411,326,476,368,392,286,693,85,197,274,167,272,868,302,39,61,479,224,158,79,285,246,151,
Ply 3 moves,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
Minimax,9322,10215,12201,13530,14286,18422,30674,32696,33439,19794,31121,4938,28160,3162,22449,21452,25845,42896,45010,43287,37412,46780,51216,4624,75313,60343,80372,73801,73599,80213,62902,49481,55217,59224,43311,48642,33335,44766,36017,41102,28159,33283,24842,35999,27338,34166,23053,33429,1813,34399,15511,26125,14345,39035,14260,3702,1770,19469,11941,23949,1940,17506,5761,23173,
Parallel Minimax,9322,10215,12201,13530,14286,18422,30674,32696,33439,19794,31121,4938,28160,3162,22449,21452,25845,42896,45010,43287,37412,46780,51216,4624,75313,60343,80372,73801,73599,80213,62902,49481,55217,59224,43311,48642,33335,44766,36017,41102,28159,33283,24842,35999,27338,34166,23053,33429,1813,34399,15511,26125,14345,39035,14260,3702,1770,19469,11941,23949,1940,17506,5761,23173,
Alphabeta,593,1229,1990,1831,4203,7240,19313,16328,12718,2615,6694,952,3950,383,3837,7660,5100,8841,4821,2414,3580,9468,5980,1787,12354,6332,9465,8321,10560,5157,13542,5364,16515,11922,14717,9303,12268,8096,11731,6313,9914,5378,8406,5650,9584,6085,12194,7140,498,3835,5123,4714,4052,6438,4232,281,834,4497,4208,2352,964,3497,1475,2641,
Jamboree,561,1090,1603,2157,3153,6909,17179,16162,13444,3294,7330,1100,5108,590,4659,8330,5259,7506,3062,2174,3740,9545,6628,1782,13170,6337,9745,8380,15254,5229,14599,5546,20631,12084,16519,9711,12877,8371,13226,6477,11189,5666,9369,5723,10583,6286,13439,7012,509,3811,5822,4772,3989,6276,4830,281,829,3305,4382,2160,1073,3528,1958,3786,
Ply 4 moves,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
Minimax,206603,244871,296576,349121,348177,586141,917947,1178602,882318,674426,843088,163725,747404,93843,656221,579248,923406,1388496,1797024,1621652,1347735,1642488,1781947,207065,2629111,2521426,3261708,2940202,3079130,3339410,2650802,1746943,2258967,1946919,1671344,1559041,1258956,1389025,1342401,1172155,1006506,895001,892199,1018335,1014782,898551,874984,846439,70883,774303,611871,517085,540089,1006097,540076,98733,64121,309859,433170,409030,71716,234554,239969,295127,
Parallel Minimax,206603,244871,296576,349121,348177,586141,917947,1178602,882318,674426,843088,163725,747404,93843,656221,579248,923406,1388496,1797024,1621652,1347735,1642488,1781947,207065,2629111,2521426,3261708,2940202,3079130,3339410,2650802,1746943,2258967,1946919,1671344,1559041,1258956,1389025,1342401,1172155,1006506,895001,892199,1018335,1014782,898551,874984,846439,70883,774303,611871,517085,540089,1006097,540076,98733,64121,309859,433170,409030,71716,234554,239969,295127,
Alphabeta,2532,9461,32168,10864,38726,102358,119683,230033,97254,50388,90291,15651,28705,6648,32680,67132,88995,36699,58134,16608,86461,64790,70619,22716,205184,48400,157793,25818,124817,104250,94988,61823,100602,204015,55731,155131,37706,115293,49116,92892,46385,68663,41695,81440,58037,63319,37535,256832,10112,20618,32417,22800,28938,40734,69654,4902,7575,44185,26225,24717,10667,10184,26636,6535,
Jamboree,2393,9011,25289,14089,34690,110428,139339,220255,134199,66750,106307,30874,48700,9300,39786,67236,89967,29983,48009,14617,90495,66931,77852,22738,213569,48765,161500,25818,134962,106093,104485,61744,106327,279457,59511,178062,37473,119474,53928,97882,49688,66965,43995,84335,61937,73189,47602,232284,10033,20631,31070,25633,28762,42357,75196,4877,6505,37724,29179,19606,9713,10898,31923,6865,
Ply 5 moves,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
Minimax,5072212,5952935,7741436,9305719,9589397,15723857,30342608,35602030,31926597,18049020,28351205,4245375,24827741,2612180,19545553,17631165,26544511,49897910,61224017,53706417,44497407,57886104,65468463,6592256,110279064,91140048,133939898,117621393,122042026,137033035,97022057,62630490,79788259,76622587,55861246,58324014,39217085,51798005,42572816,43889276,29468622,32208310,25264409,36937435,29200958,33675562,23524470,32092380,1687634,30693313,13679349,19871082,11915705,36739861,11439490,2990959,1065076,10926195,7743686,14649817,1033765,8702539,2951006,11800896,
Parallel Minimax,5072212,5952935,7741436,9305719,9589397,15723857,30342608,35602030,31926597,18049020,28351205,4245375,24827741,2612180,19545553,17631165,26544511,49897910,61224017,53706417,44497407,57886104,65468463,6592256,110279064,91140048,133939898,117621393,122042026,137033035,97022057,62630490,79788259,76622587,55861246,58324014,39217085,51798005,42572816,43889276,29468622,32208310,25264409,36937435,29200958,33675562,23524470,32092380,1687634,30693313,13679349,19871082,11915705,36739861,11439490,2990959,1065076,10926195,7743686,14649817,1033765,8702539,2951006,11800896,
Alphabeta,95474,153190,251055,203059,292272,1206104,1548018,2817540,1847324,414370,1022947,112551,529685,80119,591550,593648,465198,750519,553827,267975,505561,640834,984300,310215,2170661,633764,1014815,657097,871575,857547,1606728,658169,1693793,919899,1997732,473318,395560,1586036,945015,838978,893448,607390,694333,674406,1055654,746126,1435525,2319835,32776,573458,309834,374269,350178,378232,194621,27120,120254,575996,524450,329273,37949,149540,54249,139530,
Jamboree,117844,181328,273141,292554,462939,1381524,1835719,3227499,2339887,587332,1141819,181377,500549,103203,818778,707991,438716,918996,498174,449451,707914,780634,1185540,333737,2620853,917426,1372248,1197361,1198842,1240669,1876697,950668,2344255,1216361,2513350,651092,499639,2016941,1156191,943651,1090292,777001,936587,848100,1194766,1060706,1639198,3003794,32955,739757,377894,444360,433957,492778,214082,27645,116230,734563,597481,493279,41326,292190,64398,235514,
Ply,Minimax Avg,ParallelMinimax Avg,AlphaBeta Avg,Jamboree Avg
1,29.15625,29.15625,29.15625,29.15625,
2,933.625,933.625,372.1875,379.46875,
3,31492.765625,31492.765625,6398.109375,6735.921875,
4,1061080.375,1061080.375,63343.125,67800.859375,
5,3.7224686453125E7,3.7224686453125E7,721194.8125,907370.984375,
